# dcut planecut  dE[eV]  Strainx100  icrit  rc[A]  yc[A]  nbatminx yboxlen[A] dErlx2[eV] ycrlx[A] rcut2[A] nu50Krlx2[/s] nu300Krlx2[/s] nu1000Krlx2[/s] {lognu50Krlx2} {lognu300Krlx2} {lognu1000Krlx2}
0.10 28 0.873000 111 14 6.6906 -63.89273737060000 3 73.0549051097 1.5 4 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.10 30 0.874000 111 14 6.6905 -63.89283157420000 3 73.0550501278 0.874000 4 6.6905 1.673235012610446e-74 4.328609753988868e-01 8.206146054449055e+09 -7.377644305634074e+01 -3.636515662609493e-01 9.914139242350222e+00
0.10 32 0.809000 111 14 12.370 -70.60940706690000 1 73.0550060956 0.809000 2 12.370 3.663742975970993e-68 3.288176400642022e+00 1.072455605090042e+10 -6.743607500117035e+01 5.169551080682731e-01 1.003037932336168e+01
0.10 34 0.811000 111 14 12.370 -70.60977621370000 1 73.0553122130 0.811000 2 12.370 2.337958247202149e-68 3.089295971504075e+00 1.063659701238842e+10 -6.763116324902175e+01 4.898595180889103e-01 1.002680270548440e+01
 
0.25 0 0.804000 111 13 7.4768 -4.69729843410000000000 4 73.0642490903 0.804000 2 7.4768 1.126278045370461e-67 3.843209710289370e+00 1.094764908327480e+10 -6.694835438154186e+01 5.846940830166723e-01 1.003932086805487e+01
0.25 2 0.802000 111 13 7.4513 -4.69916947780000000000 4 73.0640584059 0.802000 2 7.4513 1.764955932234653e-67 4.090625044883336e+00 1.103818035809983e+10 -6.675326613369046e+01 6.117896729960349e-01 1.004289748593214e+01
0.25 4 0.974000 111 14 7.3062 -15.65771419410000000000 9 73.0563208056 1.5 8 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.25 6 0.978000 111 14 7.3064 -15.65782015500000000000 9 73.0561487094 1.5 8 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.25 8 0.977000 111 14 7.3073 -15.65821951120000000000 9 73.0562438112 0.977000 8 7.3073 1.501454511808471e-84 1.741508304661231e-02 5.369618383484931e+09 -8.382348782068766e+01 -1.759074450198023e+00 9.729943421670528e+00
0.25 10 0.980000 111 14 8.2077 -15.64309813330000000000 1 73.0574601416 1.5 8 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.25 12 0.980000 111 14 8.2734 -16.74837604990000000000 2 73.0632804404 1.5 8 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.25 14 0.991000 111 14 8.3962 -17.85367600130000000000 1 73.0653562093 1.5 8 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.25 16 1.111000 111 14 8.2703 -33.23418354200000000000 3 73.0536058848 1.111000 16 8.2703 1.275262453405329e-97 2.663919035497429e-04 3.092502247250097e+09 -9.689440042673125e+01 -3.574478978815189e+00 9.490310023893063e+00
